"Tidsstempel","For how long have you been knitting?","How often do you knit?","How many consecutive hours do you knit per session? (Chose the answer that fits the best on average)","Where are you based?","Why do you knit? ","How did you learn how to knit?","Where do you most often knit?","Where do you get inspiration for new knitting designs from?  ","What is your favorite type(s) of knitting project? ","What size of knitting project do you often do?","How do you choose yarn for your projects? ","Where do you often buy yarn and why?","Is there anything you would like to add about your life as a knitter? ","Which tools/haberdashery/equipment have you used during a knitting project? Choose all you have ever used","Choose the 3 most important tools (I know it can be difficult)","When starting a new knitting project do you make sure you are able to execute the pattern or do you just jump directly into it?","Please elaborate on your question above. E.g., what motivates you about a pattern?, where do you learn new skills?","Where do you mostly get help if you encounter a problem or a technique/stitch type you can't execute?","Do you prefer physical or digital knitting patterns?","What tools would be preferable to have in an knitting app? ","Would sharing the information in the app be a necesity? (E.g., be able to see the your registered amount of yarn on multiple devices)","If yes: why would it be nice to share the data? Is there some situations where it could beneficial?","Do you have anything else to share when talking about knitting apps?","Is there anything you would like to add?"
"2022/10/09 10:36:23 PM CET","11 - 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;For charity and human in needs;Enjoying the process of creating useful items;To get happy / happier","Via books and magazines","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;My imagination","Knitwear for myself;Charity","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position;Yarn shows / yarn festivals;Charity shops","Knitting has saved my life. I have major depressive disorder and many times all I care about is knitting. ","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Darning egg;Knitting app(s);Notebook & pen","Swatch gauge;Row/round counter / knitting counter;Knitting app(s)","The difficult level/techniques doesn't hold me back. I will just jump into it!","I learn by trial and lots of error (and YouTube). When I look at a project and think, ""I want to knit that"", I'm motivated. ","YouTube offers great help","Physical","Digital patterns;Knitting counter;Tool for calculating yarn amount;Video tutorials","No, I would like to keep my data on one device","","",""
"2022/10/09 11:29:43 PM CET","11 - 20 years","","1 - 2 hours","Great Britain","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To get happy / happier","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines","Knitwear for myself;Household items","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Yarn shows / yarn festivals","Knitting has changed my life","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Notebook & pen;General pdf reader app for marking pattern","Measureing tape;Circular needles;Scissor / Yarn cutter","The difficult level/techniques doesn't hold me back. I will just jump into it!","","Books","Digital","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Knitting counter;Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","When knitting outside the home could use a phone then transfer to a tablet at home.","",""
"2022/10/09 11:54:34 PM CET","11 - 20 years","Daily","Less than an hour","USA","Get relaxed and relief stress;Being social;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To get happy / happier","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines","Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Knitting app(s);Notebook & pen","Stitch markers;Circular needles;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","Most of knitting is pretty straight forward: follow the instructions and you'll get the desired result. ","the internet - not just youtube.","Digital","i am not interested in another app","Yes, it could be nice to share the data on multiple devices","Looking at home on my computer vs. on my phone while out of the house (Ravelry does this for me)","",""
"2022/10/10 12:33:26 AM CET","More than 20 years","Daily","More than 5 hours","Canada","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Creating knitwear designs I can't buy;To make knitwear that fits exactly on my body;To get happy / happier;I design patterns so I have to knit my samples/prototypes ","Via books and magazines","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Personal websites of knitwear designers;My imagination","Knitwear for myself;Household items;Knitwear for children in my family (example knitting for my first cousin's sons)","Medium projects (E.g., knitwear for children, bags)","I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Online shops because the physical shop is too far away from my position","Knitting has allowed me to pivot from a physically demanding job to one that takes my injuries into account and continue to feel productive ","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen","Stitch markers;Circular needles;Notebook & pen","The difficult level/techniques doesn't hold me back. I will just jump into it!","I've been knitting a long time, it's rare to find a pattern with a technique I haven't tried! I'm all for trying new things and if I have difficulty, then I turn to my shelf of knitting reference books. If that's not helpful then I search online.","Books","Physical","Storage for yarn and needles;Overview of knitting projects;General notes;ability to add photos to projects","Yes, it could be nice to share the data on multiple devices","I often use the desktop computer to enter some details about a project, and then need to look it up when I'm at the store (example How much yardage do I need for the contrast colour for an unstarted project). This is why I like both Ravelry and my ""notebook"" blog","",""
"2022/10/10 2:00:51 AM CET","More than 20 years","Daily","1 - 2 hours","Canada","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;For charity and human in needs;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body;To get happy / happier","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Yarn shops","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Physical shops to get help from the shop owner;Yarn shows / yarn festivals","I love being able to create clothes that fit me!  A short curvy woman.","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide (Tool to place on finger and used for colorwork);Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Circular needles;Yarn needles (For weaving in yarn e.g., yarn ends)","Make sure I can do ALL the techniques","Something that I haven't tried before.  Check out designers website and youtube videos.  Roxy knits.","Ravelry!","Physical","Storage for yarn and needles;Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Page for inspiration;Video tutorials;General notes","Yes, it could be nice to share the data on multiple devices","I can see at home on my laptop and also show my friends on my phone/look up pattern while at a cafe or doctor's office.","I still prefer a paper pattern that I can mark and make notes for later reference.  I often knit a charity hat pattern more than once.","Hopefully this helps!"
"2022/10/10 10:04:14 AM CET","More than 20 years","Daily","1 - 2 hours","Great Britain","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;Enjoying the process of creating useful items","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Knitwear for my children","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer","Physical shops to get help from the shop owner;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / flexible double-pointed needles (Hybrid between double-pointed needle and circular needle);Needle gauge;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Darning egg;Notebook & pen;E-reader (not specific knitting app)","Stitch markers;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I like patterns where there is something new to learn. Usually you-tube new techniques if not described in pattern.","YouTube offers great help","Digital","Storage for yarn and needles;Overview of knitting projects;Overview of gauge swatches;Knitting counter;Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","I use my iPad at home but I have my phone in the yarn shop when I might need to check yarn quantities or pattern requirements.","","Good luck with your research. I hope it is useful!"
"2022/10/10 12:41:46 PM CET","More than 20 years","Daily","3 - 4 hours","","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself;Gifts for friends and family","Large projects (E.g., adults knitwear)","I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Yarn shows / yarn festivals","I knit to help with my disability and chronic illness.

I live in Australia.","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Trio needles / flexible double-pointed needles (Hybrid between double-pointed needle and circular needle);Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Darning egg;Knitting app(s)","Stitch markers;Circular needles;Yarn needles (For weaving in yarn e.g., yarn ends)","The difficult level/techniques doesn't hold me back. I will just jump into it!","I learn online, usually Youtube. I enjoy a challenge.","YouTube offers great help","Digital","Overview of knitting projects;Digital patterns;Video tutorials","Yes, it could be nice to share the data on multiple devices","Always available.","KnitCompanion is indispensable",""
"2022/10/10 3:05:05 PM CET","More than 20 years","Daily","Less than an hour","USA","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","My mom taught me, I dropped it but then joined a knitting night with friends.  Ravelry really made it a strong habit.","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Personal websites of knitwear designers;My imagination","Knitwear for myself;Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Knitting app(s);Notebook & pen","Stitch markers;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I want to create something so I will figure it out.","Ask / find answers on internet forums / blogs","Digital","Overview of knitting projects;Digital patterns;General notes","Yes, it could be nice to share the data on multiple devices","I mainly use my iPad at home when planning but never take it with me.  It is helpful to see what I need or already have on my iPhone when I am unexpectedly at a yarn store.","Community is very very important.",""
"2022/10/10 3:19:47 PM CET","11 - 20 years","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Enjoying the process of creating useful items;To get happy / happier","Accepted a random invitation to learn, I needed to make friends. ","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Yarn shows / yarn festivals","It’s a fluid hobby. Sometimes all I do is knit all day with seemingly endless inspiration. Other times I can’t find a reason to pick up the needles. ","Stitch markers;Measureing tape;Circular needles;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Scissor / Yarn cutter","Stitch markers;Measureing tape;Circular needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","I’ve always been an adventurous knitter and because of that I’ve mastered most skills. If not, there is always a video to show me the way. ","YouTube offers great help","Digital","Digital patterns","No, I would like to keep my data on one device","","I don’t care for or need them ",""
"2022/10/10 4:25:42 PM CET","More than 20 years","Weekly","Less than an hour","USA","Enjoying the process of creating useful items","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Knitwear for myself","Large projects (E.g., adults knitwear)","I have soooo much yarn at home","Online shops because it is often cheaper","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Stitch stoppers / point protectors;Darning egg;Notebook & pen","Circular needles;Double-pointed needles;Yarn needles (For weaving in yarn e.g., yarn ends)","Make sure I can do ALL the techniques","I choose patterns based on whether I have suitable yarn for them already & whether I'll enjoy the techniques (stranded colorwork or stockinette are favorites)","There's not much I don't already know how to do, but if I have a question, techknitter at techknitting.blogspot.com often has already answered it. I also check Ravelry project notes for problems others have encountered. ","Digital","more ways to traverse Ravelry, I suppose, but there isn't much missing from Ravit as the perfect knitting app","No, I would like to keep my data on one device","","Sorry, but I think recreating the wheel (Ravit is already a great app) is not worthwhile",""
"2022/10/10 5:03:20 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body;To get happy / happier","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Yarn shops;My imagination;Flock and Fiber shows","Knitwear for myself;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin my own yarn;When I can, I buy locally-produced yarn and fiber at local fiber shows","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater;Yarn shows / yarn festivals","I've always had the compulsion to make things. Fiber is my artistic medium. Fiber arts such as knitting aren't just a relaxing hobby. For some of us, they're a lifestyle. Visit flock and fiber shows and you'll see what I mean. The ""fiber people"" are everywhere and easy to spot.
","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Notebook & pen","Stitch markers;Circular needles;Double-pointed needles;BESIDES needles, the minimum that I'll put in a tool tin are stitch markers, measuring tape, and small scissors.","The difficult level/techniques doesn't hold me back. I will just jump into it!","For clothing, what motivates me is, ""That's something I want to wear.""  For household items, such as kitchen things (dishcloths, potholders) and small decorations, it's ""that looks fun to make."" That's about it. Sometimes I'll pick up a project to learn something new, but mostly I knit to please myself.","First I'll find an online tutorial. I prefer images rather than videos unless there's a specific move that I can't discern from an image. Next I'll go to my books.","Physical","Knitting counter;Tool for calculating yarn amount;Location of yarn shops;Storage for or access to my own digital patterns.","Yes, it could be nice to share the data on multiple devices","I'd like to use whatever device is closest at hand and convenient.","I don't currently use specific knitting apps. I can get to Ravelry and the internet on my phone, iPad, and computer. Pretty much everything I need when I'm yarn shopping or knitting out and about is on Ravelry.","Visit fiber shows. Join in-person knitting groups. Find a knitting guild. Spend a lot of time with knitters ""in the wild."" A survey is a start, but the survey questions are grounded in your experience and your ideas of what you think knitters may want. You can get far more useful information if you sit back and observe, see what people are doing and what tools they are using, listen when they say, ""I wish I had..."" and think about where their actual needs are. You're coming at this from a largely quantitative approach. The ultimate question in qualitative research is ""what's going on here?"" and I think if you really want to pursue this project beyond your class, you'll need a whole lot of qualitative data. Talk to the social scientists for guidance if you choose to continue this project."
"2022/10/10 5:59:58 PM CET","More than 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs;Enjoying the process of creating useful items","At local yarn communities","At home","Yarn shops","Knitwear for myself;Gifts for friends and family;Knitwear for my grandchildren / great-grandchildren","Medium projects (E.g., knitwear for children, bags)","I choose yarn based on its quality/texture/material/color","Physical shops to get help from the shop owner","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Yarn brush / yarn shaver;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide (Tool to place on finger and used for colorwork);Darning egg;Notebook & pen","Stitch markers;Measureing tape;Scissor / Yarn cutter","Make sure I can do ALL the techniques","","My local yarn shop is always ready to help me","Physical","","","","",""
"2022/10/10 8:17:29 PM CET","1 - 5 year(s)","Weekly","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body;To get happy / happier","At social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest)","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Fashion industry","Knitwear for myself;Gifts for friends and family;Household items","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Yarn shows / yarn festivals;In-person secondhand garments which I unravel and reuse. Allows me to access fiber blends and weights that are otherwise difficult to find (e.g. silk-ramie chainette dk)","Knitting is often private, for me, because there it is seen as old fashioned and stereotypically feminine. I enjoy it, and I enjoy talking about it, but I don't enjoy the jokes non-knitters make.","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Needle gauge;Swatch gauge;Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Yarn threader;Scissor / Yarn cutter;Knit ring / yarn guide (Tool to place on finger and used for colorwork);Knitting app(s);Notebook & pen;crochet hooks (for fixing mistakes)","Measureing tape;Circular needles;Notebook & pen","Make sure I can do ALL the techniques","I learn from youtube tutorials, reference books, and other knitters. Techknitter is an especially good resource as are Nancy Marchant's brioche reference pages. I enjoy learning new techniques, trying things that are likely to go wrong, and patterns that use stitch patterns in interesting ways to shape the final object. It's like sculpture, to me.","YouTube offers great help","Physical","Overview of knitting projects;Digital patterns;Knitting counter;Tool for calculating yarn amount;Stitch maps are very useful. I like how they show the structure a swatch will have and make it clear where the tension will be.","Yes, it could be nice to share the data on multiple devices","I would like to have the information on my phone and laptop simultaneously. Possibly also on my TV screen. I use my phone for small details and quick reference and the larger screen as a substitute for paper patterns.","There are many ways of charting stitches around the world. Some things are relatively standard, others are less so. Having a quick reference to different chart symbols from different regions would be useful.","Good luck on your thesis! "
"2022/10/10 9:00:05 PM CET","More than 20 years","Daily","3 - 4 hours","","Why not ","The older generations in my family passed the craft on to me","Everywhere ","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook)","Mindless knits","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I buy yarn from my favorite manufacturer;I often choose the yarn that is one sale or if there is a great offer;I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Knit ring / yarn guide (Tool to place on finger and used for colorwork);Stitch stoppers / point protectors;Notebook & pen","Stitch markers;Measureing tape;Circular needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","Pretty designs and Youtube ","YouTube offers great help","Digital","Ravelry has almost all of this","Yes, it could be nice to share the data on multiple devices","I use multiple electronic devices in a day","",""
"2022/10/10 9:32:00 PM CET","More than 20 years","Daily","3 - 4 hours","","Get relaxed and relief stress;Being social;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);Trying to live more sustainable;For charity and human in needs;Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body;To get happy / happier","The older generations in my family passed the craft on to me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines;Yarn shops;Personal websites of knitwear designers;Fashion industry;Test knitting for knitwear designers;My imagination","Knitwear for myself;Gifts for friends and family;Household items;Knitwear for my children;Knitwear for my grandchildren / great-grandchildren","Large projects (E.g., adults knitwear)","I have soooo much yarn at home","Physical shops to be able to feel the yarn;Online shops because it is often cheaper;Online shops because the yarn selection (brands, material, colors) is greater","There is never enough time in a day...","Stitch markers;Measureing tape;Circular needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder","Stitch markers;Measureing tape;Circular needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","Depends on the pattern. I seem to learn something new every day even after 50+ years!","Ravelry members","Physical","I don't want an app. No use! I print everything I make. ","","","To be honest, I didn't know we were talking about an app. ",""
"2022/10/10 10:43:41 PM CET","6 - 10 years","Daily","Less than an hour","USA","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);Enjoying the process of creating useful items","Via books and magazines","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Magazines","Gifts for friends and family","Small projects (E.g., gloves, hats, socks, cloths)","I have soooo much yarn at home;I spin my own yarn","Online shops because the physical shop is too far away from my position","Knitting and spinning are calming, productive, satisfying ","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Swatch gauge;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Scissor / Yarn cutter;Wool winder","Circular needles;Double-pointed needles;Knitting needles (straight knitting needles)","Make sure I can do ALL the techniques","Ease of construction, pattern can accommodate yarn from stash, details in the pattern ","Books","Physical","Tool for calculating yarn amount;Video tutorials","No, I would like to keep my data on one device","","",""
"2022/10/11 1:11:58 AM CET","11 - 20 years","Daily","1 - 2 hours","USA","Get relaxed and relief stress;Being creative by trying new stitch types, knitting techniques or new designs;To let the hours pass by (eg., while traveling, watching TV);For charity and human in needs;Enjoying the process of creating useful items","Younger generation taught me","At home","Social media (e.g., Instagram, YouTube, TikTok, Facebook, Pinterest);Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);My imagination","Knitwear for myself;Gifts for friends and family;Charity","Medium projects (E.g., knitwear for children, bags)","I choose yarn based on its quality/texture/material/color","Physical shops to be able to feel the yarn;Online shops to support indie dyers, mostly those from systemically oppressed communities (BIPOC & queer, for example)","","Stitch markers;Measureing tape;Stitch holder cord;Circular needles;Double-pointed needles;Knitting needles (straight knitting needles);Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Row/round counter / knitting counter;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Wool winder;Stitch stoppers / point protectors;Knitting app(s);Notebook & pen","Stitch markers;Circular needles","Make sure I can do ALL the techniques","","YouTube offers great help","Digital","Digital patterns;Knitting counter;Tool for calculating yarn amount","Yes, it could be nice to share the data on multiple devices","I mostly use my iPad for knitting patterns, but it would be nice to seamlessly move to my phone when knitting outside of the home","",""
"2022/10/11 1:22:56 AM CET","More than 20 years","Daily","1 - 2 hours","Great Britain","Get relaxed and relief stress;To let the hours pass by (eg., while traveling, watching TV);Creating knitwear designs I can't buy;Enjoying the process of creating useful items;To make knitwear that fits exactly on my body","The older generations in my family passed the craft on to me","At home","Pattern sellers/databases (e.g., Ravelry, Etsy, Yarnbook);Yarn shops","Knitwear for myself","Large projects (E.g., adults knitwear)","I have soooo much yarn at home;I choose yarn based on its quality/texture/material/color;I spin my own yarn","Physical shops to be able to feel the yarn;Online shops because the yarn selection (brands, material, colors) is greater","","Stitch markers;Measureing tape;Circular needles;Double-pointed needles;Cable needles (Short, straight/curved needle to hold stitches in cable knitting);Swatch gauge;Yarn needles / tapestry needles (e.g., for weaving in ends and sewing seams);Equiment for blocking;Scissor / Yarn cutter;Notebook & pen","Measureing tape;Circular needles;Double-pointed needles","The difficult level/techniques doesn't hold me back. I will just jump into it!","The end-product motivates me, and I will learn new skills (from written sources on the internet, I do not like knitting videos to learn new techniques) as needed to get the end-product. I may skip on e.g. a required cast-on for a project if I don’t know the technique and it does not affect the look of the final product: I will then just use my default cast-on.","find written knitting resources on the internet","Digital","I would not use a knitting app, I just need a pdf of the pattern that I can annotate","No, I would like to keep my data on one device","","I personally don’t use them and have no need for them","Good luck with your project!"
